delays,runtime,Model,Dataset
40000,1857.1906113624573,r_XGBoost,HYPER_f
50000,1859.100174665451,r_XGBoost,HYPER_f
60000,1864.14253616333,r_XGBoost,HYPER_f
70000,1863.2362904548645,r_XGBoost,HYPER_f
0,6069.502559661865,B_XGBoost,HYPER_f
1000,6082.928545951843,B_XGBoost,HYPER_f
10000,6076.437195062637,B_XGBoost,HYPER_f
20000,6035.132181882858,B_XGBoost,HYPER_f
30000,5988.878235340118,B_XGBoost,HYPER_f
40000,5946.950609445572,B_XGBoost,HYPER_f
50000,5900.907794237137,B_XGBoost,HYPER_f
60000,5838.661625623703,B_XGBoost,HYPER_f
70000,5793.628860235214,B_XGBoost,HYPER_f
0,1012.7655200958252,DT,HYPER_f
1000,1010.3954837322236,DT,HYPER_f
10000,1009.4727826118468,DT,HYPER_f
20000,1013.5301601886748,DT,HYPER_f
30000,1016.3871068954468,DT,HYPER_f
40000,1019.6810765266418,DT,HYPER_f
50000,1020.479640007019,DT,HYPER_f
60000,1023.0660898685456,DT,HYPER_f
70000,1026.774943113327,DT,HYPER_f
0,1694.0014698505402,ARF,SEA_a
1000,1696.2973034381866,ARF,SEA_a
10000,1702.0349957942965,ARF,SEA_a
20000,1705.3206329345703,ARF,SEA_a
30000,1706.7855956554413,ARF,SEA_a
40000,1715.5818002223969,ARF,SEA_a
50000,1716.6584837436676,ARF,SEA_a
60000,1722.6574816703796,ARF,SEA_a
70000,1724.8711471557615,ARF,SEA_a
0,10897.144587993622,LB,SEA_a
1000,10764.037888288498,LB,SEA_a
10000,10765.856127738953,LB,SEA_a
20000,10784.727809906006,LB,SEA_a
30000,10761.23270559311,LB,SEA_a
40000,10753.01534628868,LB,SEA_a
50000,10805.360498666763,LB,SEA_a
60000,10921.768770217896,LB,SEA_a
70000,11009.110158205032,LB,SEA_a
0,1069.2842376232147,LB_HT,SEA_a
1000,1060.819950580597,LB_HT,SEA_a
10000,1072.6808931827543,LB_HT,SEA_a
20000,1083.1837902069092,LB_HT,SEA_a
30000,1066.624303340912,LB_HT,SEA_a
40000,1062.786372423172,LB_HT,SEA_a
50000,1095.6213104724884,LB_HT,SEA_a
60000,1080.422991991043,LB_HT,SEA_a
70000,1080.092707157135,LB_HT,SEA_a
0,48.09805750846863,LR,SEA_a
1000,49.21719288825989,LR,SEA_a
10000,50.76286220550537,LR,SEA_a
20000,52.40096616744995,LR,SEA_a
30000,53.78233337402344,LR,SEA_a
40000,54.670875787734985,LR,SEA_a
50000,56.24405264854431,LR,SEA_a
60000,57.98517036437988,LR,SEA_a
70000,60.404627561569214,LR,SEA_a
0,180.16624760627747,HAT,SEA_a
1000,185.04505729675293,HAT,SEA_a
10000,186.83119106292725,HAT,SEA_a
20000,189.2330434322357,HAT,SEA_a
30000,189.6067409515381,HAT,SEA_a
40000,192.9221396446228,HAT,SEA_a
50000,194.13579511642456,HAT,SEA_a
60000,197.9193913936615,HAT,SEA_a
70000,201.8773534297943,HAT,SEA_a
0,35.18352031707764,HT,SEA_a
1000,37.25408029556274,HT,SEA_a
10000,39.00201916694641,HT,SEA_a
20000,40.59862947463989,HT,SEA_a
30000,41.8553512096405,HT,SEA_a
40000,43.14334011077881,HT,SEA_a
50000,45.12160325050354,HT,SEA_a
60000,46.833844900131226,HT,SEA_a
70000,48.63383221626282,HT,SEA_a
0,1769.735898733139,r_TabSRA,SEA_a
1000,1774.567050933838,r_TabSRA,SEA_a
10000,1785.5655674934387,r_TabSRA,SEA_a
20000,1778.1627278327942,r_TabSRA,SEA_a
30000,1781.4959943294523,r_TabSRA,SEA_a
40000,1789.7640073299408,r_TabSRA,SEA_a
50000,1796.2723977565763,r_TabSRA,SEA_a
60000,1786.8196527957916,r_TabSRA,SEA_a
70000,1815.0099959373476,r_TabSRA,SEA_a
0,2952.358013868332,u_TabSRA,SEA_a
1000,2925.4332222938538,u_TabSRA,SEA_a
10000,2931.270061969757,u_TabSRA,SEA_a
20000,2896.884223461151,u_TabSRA,SEA_a
30000,2840.0840594768524,u_TabSRA,SEA_a
40000,2614.330409526825,u_TabSRA,SEA_a
50000,2648.833661556244,u_TabSRA,SEA_a
60000,2630.8353927135468,u_TabSRA,SEA_a
70000,2600.3045661449432,u_TabSRA,SEA_a
0,944.565613269806,r_EBM,SEA_a
1000,955.946897506714,r_EBM,SEA_a
10000,958.3006658554076,r_EBM,SEA_a
20000,957.7445123195648,r_EBM,SEA_a
30000,956.1761546134948,r_EBM,SEA_a
40000,961.5149331092834,r_EBM,SEA_a
50000,966.2495365142822,r_EBM,SEA_a
60000,966.7529826164246,r_EBM,SEA_a
70000,972.5398602485656,r_EBM,SEA_a
0,913.9859313964844,B_EBM,SEA_a
1000,920.8209071159364,B_EBM,SEA_a
10000,923.6015009880066,B_EBM,SEA_a
20000,928.8567821979524,B_EBM,SEA_a
30000,930.729927778244,B_EBM,SEA_a
40000,934.2185304164886,B_EBM,SEA_a
50000,936.5564661026,B_EBM,SEA_a
60000,938.746071577072,B_EBM,SEA_a
70000,940.0769927501678,B_EBM,SEA_a
0,1543.863924741745,r_XGBoost,SEA_a
1000,1566.8427636623385,r_XGBoost,SEA_a
10000,1577.6868419647217,r_XGBoost,SEA_a
20000,1576.6009171009064,r_XGBoost,SEA_a
30000,1577.8589878082275,r_XGBoost,SEA_a
40000,1583.272754907608,r_XGBoost,SEA_a
50000,1584.825703382492,r_XGBoost,SEA_a
