Batch_len,AVG_DELAY_0,AVG_DELAY_1000,AVG_DELAY_10000,AVG_DELAY_20000,AVG_DELAY_30000,AVG_DELAY_40000,AVG_DELAY_50000,AVG_DELAY_60000,AVG_DELAY_70000,Model,Dataset
9925,0.9805182861563406,0.9801911152157116,0.9764326995751328,0.9688995237369572,0.9270096574758812,0.7622269031887257,0.7230201135947503,0.709321191012844,0.6936837160576633,B_XGBoost,AGR_g
10149,0.9835817676949128,0.9830843805773126,0.980789143408687,0.9789551013417046,0.9694111274006258,0.929552861414557,0.7551972385317807,0.725444751686573,0.7113106013178765,B_XGBoost,AGR_g
9995,0.9851597338028018,0.9854119007028128,0.9845807028831076,0.9852395389572114,0.9804309414049324,0.9724390090128372,0.930260550901437,0.7685901233900482,0.7287750353195379,B_XGBoost,AGR_g
9844,0.987839079389416,0.988453699715738,0.9885102925735908,0.9882693442232746,0.98671079107227,0.9839756274507764,0.9742343087505346,0.9273051091779756,0.7629164141566193,B_XGBoost,AGR_g
10078,0.9858737815288235,0.9873430915641364,0.987004750000376,0.9874351960501756,0.9864717193199634,0.9859925576558004,0.981987303017982,0.9706114196375693,0.921698401000874,B_XGBoost,AGR_g
10066,0.9893036343003658,0.9888980568573932,0.9891602869392334,0.989140334632808,0.9889510685836248,0.9887147593845969,0.9875231682108812,0.9837284701847616,0.9731976120549916,B_XGBoost,AGR_g
10023,0.9887394260835788,0.988349251652364,0.9865500007241376,0.9894133063637752,0.9891653050811748,0.9891528339362984,0.9882463004516148,0.9870683830402794,0.9837565255743178,B_XGBoost,AGR_g
9967,0.9878863438898854,0.988378171165025,0.9856736673377764,0.9887044985623492,0.988969253603299,0.988402894445521,0.988338020615212,0.9878069274639278,0.9861144933102742,B_XGBoost,AGR_g
10161,0.9877049524966672,0.987444818269868,0.9847262662477276,0.9873400246426096,0.9872874103356776,0.9876257344693314,0.9876128286735696,0.9873640758359464,0.9868374873348202,B_XGBoost,AGR_g
10037,0.9885639402422928,0.988220126751907,0.9881743532349484,0.9884180437429227,0.9881518208865516,0.9875116882613314,0.9882214596531156,0.9880480880743676,0.9877190879819936,B_XGBoost,AGR_g
9881,0.9900314993230116,0.98994201714116,0.9898163976640738,0.9899455446125502,0.9893825242245524,0.989110709203722,0.9893320789039188,0.989949428672242,0.9898180172622704,B_XGBoost,AGR_g
10008,0.988570517284001,0.9890865968974012,0.9891753354629904,0.9893179499221406,0.9890674349361872,0.988986261399811,0.9893101398985616,0.98905565895936,0.9892707401704,B_XGBoost,AGR_g
9965,0.9864459835353144,0.9867041101063094,0.9863008870140718,0.986416439782594,0.9860822627126514,0.9862407740192995,0.9868578631676016,0.9864876377555056,0.9864780036365448,B_XGBoost,AGR_g
9976,0.984105670936253,0.9846689252082352,0.984904872905532,0.9844288622481736,0.9841158463078192,0.9844295786942088,0.98480542206726,0.9852015380974,0.984562088535081,B_XGBoost,AGR_g
9906,0.9813223127692212,0.9810438495268868,0.9809318736462032,0.9806862224507208,0.9807050892446328,0.9807816939446584,0.9808743355450814,0.9807555805593432,0.980739532967592,B_XGBoost,AGR_g
10169,0.9718839838266868,0.9749085723536428,0.974055280870866,0.9726941686083976,0.9735562927377822,0.9737451411620294,0.9742068573327608,0.9732363680069396,0.9732534736344352,B_XGBoost,AGR_g
10153,0.9533814416868744,0.9561398664374896,0.9556766947054388,0.9540067033938244,0.9537303457393612,0.9538820372023156,0.9537444747618098,0.9545853237164126,0.9546071413715382,B_XGBoost,AGR_g
10026,0.9180039384788072,0.9234149849589112,0.9190366414240364,0.91678098153682,0.9144496158123692,0.9135946573466792,0.9125406226182506,0.9146692940621732,0.9140807356929608,B_XGBoost,AGR_g
9999,0.8787902541278837,0.8898017119523212,0.8768794446022561,0.8664295933231396,0.8636222292760158,0.8607447691023483,0.8580675879237399,0.8574437708002448,0.8582702552009027,B_XGBoost,AGR_g
10051,0.8310025902167383,0.8384845328195215,0.8315665566548878,0.8078121793695011,0.7920449280381382,0.7829140288034075,0.7781282237023437,0.7759724531501173,0.7724922611204322,B_XGBoost,AGR_g
